county,population
Multnomah County,798647
Washington County,581821
Clackamas County,405788
Lane County,368882
Marion County,335553
Jackson County,214267
Deschutes County,180640
Linn County,122870
Douglas County,108323
Yamhill County,103820
Benton County,89780
Josephine County,85481
Polk County,81427
Umatilla County,76898
Klamath County,66310
Coos County,63308
Columbia County,50851
Lincoln County,47881
Clatsop County,38562
Malheur County,30431
Tillamook County,26076
Union County,26028
Wasco County,25866
Jefferson County,23143
Hood River County,23131
Curry County,22507
Crook County,22337
Baker County,15984
Morrow County,11215
Lake County,7843
Harney County,7228
Grant County,7183
Wallowa County,6924
Gilliam County,1907
Sherman County,1605
Wheeler County,1426
